location_id,year_id,GBD_mean,JRF_admin,bias_term
ARM,1993,0.9351539,0.85,1.100181059
ARM,1994,0.93851519,0.86,1.091296733
ARM,1995,0.94185102,0.98,0.961072469
ARM,1996,0.94296217,0.86,1.09646764
ARM,1997,0.94492519,0.88,1.073778625
ARM,1998,0.94446707,0.82,1.15178911
ARM,1999,0.94365364,0.91,1.036982022
ARM,2000,0.94311297,0.93,1.014099968
ARM,2001,0.94215912,0.94,1.002296936
ARM,2002,0.94106066,0.94,1.001128362
ARM,2003,0.93985474,0.94,0.999845468
ARM,2004,0.93865502,0.91,1.031489033
ARM,2005,0.93801409,0.9,1.042237878
ARM,2006,0.93758547,0.87,1.077684448
ARM,2007,0.93784887,0.88,1.065737352
ARM,2008,0.93898189,0.89,1.055035831
ARM,2009,0.94054657,0.93,1.011340398
ARM,2010,0.94322258,0.94,1.003428277
ARM,2011,0.94604671,0.95,0.995838642
ARM,2012,0.94874877,0.95,0.998682916
ARM,2013,0.95129317,0.95,1.001361232
ARM,2014,0.95371258,0.93,1.025497398
ARM,2015,0.95605785,0.94,1.017082819
ASM,1980,0.50852162,NA,NA
ASM,1981,0.51688296,NA,NA
ASM,1982,0.52688247,NA,NA
ASM,1983,0.53623092,NA,NA
ASM,1984,0.54489696,NA,NA
ASM,1985,0.55375636,NA,NA
ASM,1986,0.5638271,NA,NA
ASM,1987,0.57524997,NA,NA
ASM,1988,0.59046257,NA,NA
ASM,1989,0.6134398,NA,NA
ASM,1990,0.64263779,NA,NA
ASM,1991,0.67721194,NA,NA
ASM,1992,0.71828425,NA,NA
ASM,1993,0.75694633,NA,NA
ASM,1994,0.79301029,NA,NA
ASM,1995,0.8218165,NA,NA
ASM,1996,0.83928531,NA,NA
ASM,1997,0.85613787,NA,NA
ASM,1998,0.86847275,NA,NA
ASM,1999,0.87515116,NA,NA
ASM,2000,0.87938374,NA,NA
ASM,2001,0.88359797,NA,NA
ASM,2002,0.8875891,NA,NA
ASM,2003,0.89273226,NA,NA
ASM,2004,0.89597666,NA,NA
ASM,2005,0.89924842,NA,NA
ASM,2006,0.90310693,NA,NA
ASM,2007,0.90747547,NA,NA
ASM,2008,0.91067606,NA,NA
ASM,2009,0.91275579,NA,NA
ASM,2010,0.91439003,NA,NA
ASM,2011,0.91578984,NA,NA
ASM,2012,0.91707158,NA,NA
ASM,2013,0.91815507,NA,NA
ASM,2014,0.91910601,NA,NA
ASM,2015,0.91997552,NA,NA
ATG,1980,0.85434037,0.54,1.582111796
ATG,1981,0.87297052,0.79,1.105025975
ATG,1982,0.89248568,0.79,1.129728709
ATG,1983,0.91176403,0.99,0.920973768
ATG,1984,0.92644405,0.94,0.985578777
ATG,1985,0.93914843,0.99,0.948634778
ATG,1986,0.94869542,0.96,0.988224396
ATG,1987,0.9566167,0.97,0.986202784
ATG,1988,0.96304029,0.98,0.982694173
ATG,1989,0.96804106,0.99,0.977819253
ATG,1990,0.9716087,0.99,0.981422929
ATG,1991,0.97400719,0.94,1.036177862
ATG,1992,0.97630692,0.99,0.986168606
ATG,1993,0.97782362,0.99,0.987700626
ATG,1994,0.97864848,0.99,0.988533818
ATG,1995,0.97876781,0.99,0.988654354
ATG,1996,0.97820294,0.99,0.988083778
ATG,1997,0.97687721,0.99,0.986744657
ATG,1998,0.97452563,0.99,0.984369323
ATG,1999,0.97163409,0.99,0.981448576
ATG,2000,0.96864867,0.95,1.019630179
ATG,2001,0.96674937,0.97,0.996648835
ATG,2002,0.96616203,0.98,0.985879622
ATG,2003,0.96617156,0.99,0.975930869
ATG,2004,0.96705478,0.97,0.996963691
ATG,2005,0.96933341,0.99,0.979124657
ATG,2006,0.9713912,0.99,0.981203232
ATG,2007,0.97326314,0.99,0.983094081
ATG,2008,0.97491479,0.99,0.984762414
ATG,2009,0.97631103,0.99,0.986172758
ATG,2010,0.97803301,0.98,0.997992867
ATG,2011,0.97966504,0.99,0.989560646
ATG,2012,0.98121202,0.98,1.001236755
ATG,2013,0.98265857,0.99,0.992584414
ATG,2014,0.98395741,0.99,0.993896374
ATG,2015,0.98507214,0.99,0.995022364
AUS,1980,0.7465691,0.33,2.262330606
AUS,1981,0.76609272,NA,NA
AUS,1982,0.78409457,NA,NA
AUS,1983,0.80071104,0.55,1.455838255
AUS,1984,0.82119083,NA,NA
AUS,1985,0.84011751,NA,NA
AUS,1986,0.85730368,NA,NA
AUS,1987,0.87272334,NA,NA
AUS,1988,0.88631451,NA,NA
AUS,1989,0.89808935,0.93,0.965687473
AUS,1990,0.90559685,0.95,0.953259842
AUS,1991,0.90863305,NA,NA
AUS,1992,0.91112828,NA,NA
AUS,1993,0.91317499,NA,NA
AUS,1994,0.91487318,NA,NA
AUS,1995,0.9163453,0.86,1.065517791
AUS,1996,0.91797721,0.86,1.06741536
AUS,1997,0.91976494,0.77,1.194499922
AUS,1998,0.92428428,0.82,1.127175951
AUS,1999,0.92996752,0.88,1.056781273
AUS,2000,0.93467236,0.9,1.038524844
AUS,2001,0.93838853,0.92,1.019987533
AUS,2002,0.94116086,0.92,1.023000935
AUS,2003,0.94327956,0.93,1.014279097
AUS,2004,0.94479233,0.92,1.026948185
AUS,2005,0.94593471,0.92,1.028189902
AUS,2006,0.94676948,0.92,1.029097261
AUS,2007,0.94726348,0.92,1.029634217
AUS,2008,0.94754219,0.92,1.029937163
AUS,2009,0.94774139,0.92,1.030153685
AUS,2010,0.94792801,0.92,1.030356533
AUS,2011,0.94820094,0.92,1.030653196
AUS,2012,0.94859529,0.92,1.031081837
AUS,2013,0.94909376,0.91,1.042960176
AUS,2014,0.94978297,0.92,1.032372793
AUS,2015,0.95065868,0.93,1.022213634
AUT,1980,0.8879652,NA,NA
AUT,1981,0.89177674,0.9,0.990863044
AUT,1982,0.89472347,0.9,0.994137189
AUT,1983,0.89700484,0.9,0.996672044
AUT,1984,0.89874715,0.9,0.998607944
AUT,1985,0.90005678,0.9,1.000063089
AUT,1986,0.90098721,0.9,1.0010969
AUT,1987,0.90148562,0.9,1.001650689
AUT,1988,0.90154856,0.9,1.001720622
AUT,1989,0.90114957,0.9,1.0012773
AUT,1990,0.90020967,0.9,1.000232967
AUT,1991,0.89864105,0.9,0.998490056
AUT,1992,0.89625299,0.9,0.995836656
AUT,1993,0.89286315,0.9,0.992070167
AUT,1994,0.88830495,0.9,0.9870055
AUT,1995,0.88220644,0.9,0.980229378
AUT,1996,0.87465203,0.9,0.971835589
AUT,1997,0.8647939,0.9,0.960882111
AUT,1998,0.85258222,NA,NA
AUT,1999,0.84162539,0.74,1.137331608
AUT,2000,0.83560854,0.81,1.031615481
AUT,2001,0.8322227,0.84,0.99074131
AUT,2002,0.83041954,0.83,1.00050547
AUT,2003,0.83014995,0.84,0.98827375
AUT,2004,0.83101541,0.83,1.001223386
AUT,2005,0.83310211,0.86,0.968723384
AUT,2006,0.83563185,0.83,1.006785361
AUT,2007,0.83920312,0.85,0.987297788
AUT,2008,0.84320158,0.83,1.015905518
AUT,2009,0.84794921,0.83,1.021625554
AUT,2010,0.85372818,NA,NA
AUT,2011,0.85955745,NA,NA
AUT,2012,0.8653174,NA,NA
AUT,2013,0.87094438,NA,NA
AUT,2014,0.87641168,0.98,0.894297633
AUT,2015,0.88170695,NA,NA
AZE,1980,0.82144547,NA,NA
AZE,1981,0.82400244,NA,NA
AZE,1982,0.82689571,NA,NA
AZE,1983,0.8303827,NA,NA
AZE,1984,0.83448768,NA,NA
AZE,1985,0.83933049,NA,NA
AZE,1986,0.84519392,NA,NA
AZE,1987,0.85200369,NA,NA
AZE,1988,0.85987717,NA,NA
AZE,1989,0.86876869,NA,NA
AZE,1990,0.87835789,0.84,1.045664155
AZE,1991,0.8915388,0.89,1.001728989
AZE,1992,0.90533322,0.83,1.090762916
AZE,1993,0.92021966,0.91,1.011230396
AZE,1994,0.93393022,0.94,0.993542787
AZE,1995,0.94556952,0.99,0.955120727
AZE,1996,0.95315838,0.99,0.962786242
AZE,1997,0.95769989,0.95,1.008105147
AZE,1998,0.95929259,0.97,0.988961433
AZE,1999,0.9600932,0.99,0.969791111
AZE,2000,0.95897931,0.98,0.978550316
AZE,2001,0.95684117,0.98,0.976368541
AZE,2002,0.9537918,0.97,0.983290515
AZE,2003,0.95040423,0.97,0.979798175
AZE,2004,0.94671983,0.96,0.98616649
AZE,2005,0.94355524,0.93,1.014575527
AZE,2006,0.94176477,0.95,0.991331337
AZE,2007,0.9404583,0.95,0.989956105
AZE,2008,0.93942004,0.95,0.9888632
AZE,2009,0.93851215,0.94,0.998417181
AZE,2010,0.93815857,0.93,1.008772656
AZE,2011,0.9383387,0.95,0.987724947
AZE,2012,0.93895209,0.93,1.009625903
AZE,2013,0.94033998,0.93,1.011118258
AZE,2014,0.94248402,0.94,1.002642574
AZE,2015,0.94517028,0.96,0.984552375
BDI,1980,0.57607698,NA,NA
BDI,1981,0.58452195,0.36,1.623672083
BDI,1982,0.59465075,0.33,1.80197197
BDI,1983,0.60651064,0.44,1.378433273
BDI,1984,0.61729538,0.26,2.374213
BDI,1985,0.62943071,0.36,1.748418639
BDI,1986,0.64011329,0.53,1.207760925
BDI,1987,0.64939284,0.68,0.954989471
BDI,1988,0.65761787,0.68,0.967085103
BDI,1989,0.66671389,0.82,0.81306572
BDI,1990,0.67364138,0.86,0.78330393
BDI,1991,0.67725283,0.83,0.815967265
BDI,1992,0.67772424,0.8,0.8471553
BDI,1993,0.67512095,0.63,1.071620556
BDI,1994,0.6720773,0.48,1.400161042
BDI,1995,0.67078328,0.63,1.064735365
BDI,1996,0.66946679,0.55,1.217212345
BDI,1997,0.66916972,0.6,1.115282867
BDI,1998,0.67521876,0.5,1.35043752
BDI,1999,0.69178385,0.63,1.098069603
BDI,2000,0.71258813,0.68,1.047923721
BDI,2001,0.73760456,0.59,1.25017722
BDI,2002,0.76807851,0.95,0.808503695
BDI,2003,0.79854441,0.94,0.84951533
BDI,2004,0.82971174,0.83,0.999652699
BDI,2005,0.8624897,0.87,0.991367471
BDI,2006,0.89148688,0.92,0.969007478
BDI,2007,0.91508394,0.99,0.924327212
BDI,2008,0.93268967,0.92,1.01379312
BDI,2009,0.94655949,0.99,0.956120697
BDI,2010,0.95669442,0.96,0.996556688
BDI,2011,0.96441978,0.99,0.974161394
BDI,2012,0.96971661,0.96,1.010121469
BDI,2013,0.97340035,0.96,1.013958698
BDI,2014,0.97591072,0.95,1.027274442
BDI,2015,0.97744197,0.94,1.039831883
BEL,1980,0.92707795,NA,NA
BEL,1981,0.92939728,0.95,0.978312926
BEL,1982,0.93084049,0.95,0.979832095
BEL,1983,0.93159401,0.95,0.980625274
BEL,1984,0.93177444,0.95,0.9808152
BEL,1985,0.93136984,NA,NA
BEL,1986,0.93085515,0.95,0.979847526
BEL,1987,0.92983866,0.95,0.978777537
BEL,1988,0.92837548,0.8,1.16046935
BEL,1989,0.92836744,0.94,0.987624936
BEL,1990,0.92817509,0.93,0.998037731
BEL,1991,0.92804354,0.92,1.008742978
BEL,1992,0.92819583,0.95,0.977048242
BEL,1993,0.927881,0.97,0.956578351
BEL,1994,0.92621511,0.96,0.964807406
BEL,1995,0.92337674,0.94,0.982315681
BEL,1996,0.9205181,0.95,0.968966421
BEL,1997,0.91649741,0.62,1.478221629
BEL,1998,0.92057246,0.79,1.165281595
BEL,1999,0.93065119,NA,NA
BEL,2000,0.93977332,0.95,0.989235074
BEL,2001,0.94761795,0.95,0.997492579
